author,updated_at,like_count,text,public,tokens,tokens_without_slang,text_fin,sentiment
@juliantoyanto880,2023-12-25T01:49:26Z,0,tidak mau ditanyain wartawan soalnya materi nya belum dipelajari😅😂😅😂😅,True,"['ditanyain', 'wartawan', 'materi', 'nya', 'dipelajari', '😅', '😂', '😅', '😂', '😅']","['ditanyain', 'wartawan', 'materi', 'nya', 'dipelajari', '😅', '😂', '😅', '😂', '😅']",ditanyain wartawan materi  dipelajari 😅 😂 😅 😂 😅,negative
@SaintDonkers,2023-12-25T01:36:16Z,0,salam🤟🏻🔥,True,"['salam', '🤟', '🏻', '🔥']","['salam', '🤟', '🏻', '🔥']",salam 🤟 🏻 🔥,positive
@edios6615,2023-12-25T01:31:00Z,0,dari awal debat dan akhir debat gibran tidak pake tekssalut buat mas gibran,True,"['debat', 'debat', 'gibran', 'pakai', 'tekssalut', 'mas', 'gibran']","['debat', 'debat', 'gibran', 'pakai', 'tekssalut', 'mas', 'gibran']",debat debat gibran  tekssalut mas gibran,neutral
@aguswahyu4600,2023-12-25T01:15:02Z,0,slalu nyiyir tanda ketakutan,True,"['selalu', 'nyiyir', 'tanda', 'ketakutan']","['selalu', 'nyiyir', 'tanda', 'ketakutan']",selalu nyiyir tanda ketakutan,negative
@riantoiyant3483,2023-12-25T01:08:52Z,0,yang kacamata belum apannya sama gibransangatlah tidak tahu siapa gibranmeelihatnya hanya di tv sajananti juga tahu siapa gibran,True,"['kacamata', 'apannya', 'gibransangatlah', 'gibranmeelihatnya', 'tv', 'sajananti', 'gibran']","['kacamata', 'apannya', 'gibransangatlah', 'gibranmeelihatnya', 'tv', 'sajananti', 'gibran']",kacamata apannya gibransangatlah gibranmeelihatnya tv sajananti gibran,negative
@trieutari1793,2023-12-25T00:42:39Z,0,sebaiknya ketika menanyakan dengan istilah asing dijelaskan juga ke dalam bahasa indonesia yang mudah dimengerti karena debat ini disaksikan oleh seluruh rakyat indonesia di semua kalangan dari orang awam akan isu politik dan pemerintahan sampai kalangan petinggi² negeri sehingga rakyat juga dapat memahami inti dari apa yang didebatkan visi misi capres dan cawapres kalau bahasanya sulit dimengerti jangankan untuk kalangan bawah kalangan orang² berpendidikan saja mereka baru tahu akan istilahistilah yang disebutkan bagaimana rakyat seluruhnya dapat mengerti jadi waktu debat yang disediakan terasa siasia karena hanya mengartikan istilahistilah yang jarang orang mengerti,True,"['istilah', 'asing', 'bahasa', 'indonesia', 'mudah', 'dimengerti', 'debat', 'disaksikan', 'rakyat', 'indonesia', 'kalangan', 'orang', 'awam', 'isu', 'politik', 'pemerintahan', 'kalangan', 'petinggi²', 'negeri', 'rakyat', 'memahami', 'inti', 'didebatkan', 'visi', 'misi', 'capres', 'cawapres', 'bahasanya', 'sulit', 'dimengerti', 'kalangan', 'kalangan', 'orang²', 'berpendidikan', 'istilahistilah', 'rakyat', 'mengerti', 'debat', 'disediakan', 'siasia', 'mengartikan', 'istilahistilah', 'jarang', 'orang', 'mengerti']","['istilah', 'asing', 'bahasa', 'indonesia', 'mudah', 'dimengerti', 'debat', 'disaksikan', 'rakyat', 'indonesia', 'kalangan', 'orang', 'awam', 'isu', 'politik', 'pemerintahan', 'kalangan', 'petinggi²', 'negeri', 'rakyat', 'memahami', 'inti', 'didebatkan', 'visi', 'misi', 'capres', 'cawapres', 'bahasanya', 'sulit', 'dimengerti', 'kalangan', 'kalangan', 'orang²', 'berpendidikan', 'istilahistilah', 'rakyat', 'mengerti', 'debat', 'disediakan', 'siasia', 'mengartikan', 'istilahistilah', 'jarang', 'orang', 'mengerti']",istilah asing bahasa indonesia mudah dimengerti debat disaksikan rakyat indonesia kalangan  awam isu politik pemerintahan kalangan petinggi² negeri rakyat memahami inti didebatkan visi misi capres cawapres bahasanya sulit dimengerti kalangan kalangan orang² berpendidikan istilahistilah rakyat mengerti debat disediakan siasia mengartikan istilahistilah jarang  mengerti,negative
@desantoselfiatos6953,2023-12-25T00:19:56Z,1,itu hostnya yg cwok pake kacamata paling pojok duduknya kurang cerdasbelajr lagi mas jadi host yg baiktadi pas fadli zon nanya ke bestari apakah tau apa pengertian dari food estatekok malah dipotongujungnya kan yg nonton jadi males karna jawabannya menggantungpertanyaan jadi tidak terjawabsobelajar dlu jadi host yg baik sebelum muncul di medsos yamales banget nonton klo hostnya gak berkualitas😌😌,True,"['hostnya', 'yang', 'cowok', 'pakai', 'kacamata', 'pojok', 'duduknya', 'cerdasbelajr', 'mas', 'host', 'yang', 'baiktadi', 'pas', 'fadli', 'zon', 'nanya', 'bestari', 'tau', 'pengertian', 'food', 'estatekok', 'dipotongujungnya', 'yang', 'menonton', 'malas', 'karena', 'jawabannya', 'menggantungpertanyaan', 'terjawabsobelajar', 'dulu', 'host', 'yang', 'muncul', 'medsos', 'yamales', 'banget', 'menonton', 'kalo', 'hostnya', 'enggak', 'berkualitas', '😌', '😌']","['hostnya', 'yang', 'cowok', 'pakai', 'kacamata', 'pojok', 'duduknya', 'cerdasbelajr', 'mas', 'host', 'yang', 'baiktadi', 'pas', 'fadli', 'zon', 'nanya', 'bestari', 'tau', 'pengertian', 'food', 'estatekok', 'dipotongujungnya', 'yang', 'menonton', 'malas', 'karena', 'jawabannya', 'menggantungpertanyaan', 'terjawabsobelajar', 'dulu', 'host', 'yang', 'muncul', 'medsos', 'yamales', 'banget', 'menonton', 'kalo', 'hostnya', 'enggak', 'berkualitas', '😌', '😌']",hostnya  cowok  kacamata pojok duduknya cerdasbelajr mas host  baiktadi pas fadli zon nanya bestari  pengertian food estatekok dipotongujungnya  menonton malas karena jawabannya menggantungpertanyaan terjawabsobelajar dulu host  muncul medsos yamales  menonton  hostnya  berkualitas 😌 😌,negative
@nznafa7215,2023-12-25T00:17:36Z,1,melihat acaranyakasihan seorang fadli zon di bully gus islah jadi orang oon jangan jadi ngabalin bang fadli😂😂😂,True,"['acaranyakasihan', 'fadli', 'zon', 'bully', 'gus', 'islah', 'orang', 'oon', 'ngabalin', 'bang', 'fadli', '😂', '😂', '😂']","['acaranyakasihan', 'fadli', 'zon', 'bully', 'gus', 'islah', 'orang', 'oon', 'ngabalin', 'bang', 'fadli', '😂', '😂', '😂']",acaranyakasihan fadli zon bully gus islah  oon ngabalin bang fadli 😂 😂 😂,negative
@yenijuwita8842,2023-12-24T23:55:55Z,0,dikira cupu ternyata suhu slebeeeewww,True,"['cupu', 'suhu', 'slebeeeewww']","['cupu', 'suhu', 'slebeeeewww']",cupu suhu slebeeeewww,negative
@erwineldrian1647,2023-12-24T23:52:36Z,0,kenapa orang indonesia bilang otewe bukan o ti double u jadi singkatan inggris bisa di dialek kan bahasa indonesia si islah yakin dia istiqomah politik mah bebas,True,"['orang', 'indonesia', 'bilang', 'otewe', 'o', 'ti', 'double', 'u', 'singkatan', 'inggris', 'dialek', 'bahasa', 'indonesia', 'sih', 'islah', 'istikamah', 'politik', 'mah', 'bebas']","['orang', 'indonesia', 'bilang', 'otewe', 'o', 'ti', 'double', 'u', 'singkatan', 'inggris', 'dialek', 'bahasa', 'indonesia', 'sih', 'islah', 'istikamah', 'politik', 'mah', 'bebas']", indonesia  otewe o ti double u singkatan inggris dialek bahasa indonesia  islah istikamah politik mah bebas,positive
